Date,Temp1,Humidity,Atmospheric_pressure,Wind_speed,Cloudiness
01/01/2000,26.0,92.0,1002.9,0.0,4.0
01/01/2000,24.4,90.0,1004.8,3.0,10.0
01/01/2000,27.0,81.0,1003.4,1.0,8.0
02/01/2000,26.0,85.0,1004.1,0.0,5.0
02/01/2000,23.8,95.0,1004.9,0.0,10.0
02/01/2000,28.2,79.0,1003.2,1.0,10.0
03/01/2000,25.6,89.0,1003.6,0.0,8.0
03/01/2000,24.4,95.0,1004.2,0.0,10.0
03/01/2000,27.6,72.0,1003.4,0.0,8.0
04/01/2000,26.0,82.0,1002.8,0.0,0.0
04/01/2000,24.0,93.0,1004.5,0.0,10.0
04/01/2000,30.4,68.0,1003.2,0.0,10.0
05/01/2000,26.2,85.0,1002.6,0.0,5.0
05/01/2000,22.4,95.0,1005.5,0.0,10.0
05/01/2000,26.6,81.0,1003.5,0.0,10.0
06/01/2000,26.0,82.0,1003.4,1.0,5.0
06/01/2000,24.8,89.0,1005.2,0.0,10.0
06/01/2000,30.4,69.0,1004.4,1.0,6.0
07/01/2000,26.8,85.0,1003.5,0.0,6.0
07/01/2000,25.2,95.0,1006.9,0.0,10.0
07/01/2000,29.6,68.0,1003.2,1.0,8.0
08/01/2000,27.4,77.0,1002.9,0.0,0.0
08/01/2000,24.6,87.0,1006.2,0.0,4.0
08/01/2000,31.6,60.0,1003.2,2.0,6.0
09/01/2000,27.6,74.0,1002.4,0.0,0.0
09/01/2000,26.4,88.0,1005.8,1.0,6.0
09/01/2000,24.6,89.0,1003.8,0.0,10.0
10/01/2000,24.6,92.0,1005.8,0.0,6.0
10/01/2000,24.8,95.0,1005.0,2.0,8.0
10/01/2000,31.4,66.0,1003.8,2.0,8.0
11/01/2000,27.0,85.0,1003.0,0.0,3.0
11/01/2000,26.8,85.0,1005.9,1.0,4.0
11/01/2000,31.2,67.0,1002.8,2.0,6.0
12/01/2000,26.2,85.0,1003.2,0.0,6.0
12/01/2000,24.6,89.0,1005.7,0.0,10.0
12/01/2000,29.6,70.0,1003.3,2.0,8.0
13/01/2000,23.6,97.0,1005.0,0.0,10.0
13/01/2000,23.6,95.0,1006.0,0.0,8.0
13/01/2000,31.2,65.0,1003.6,2.0,6.0
14/01/2000,26.0,88.0,1005.0,0.0,8.0
14/01/2000,24.2,92.0,1006.3,1.0,10.0
14/01/2000,30.2,66.0,1004.0,3.0,8.0
15/01/2000,26.4,82.0,1003.7,1.0,8.0
15/01/2000,24.4,90.0,1006.2,0.0,10.0
15/01/2000,29.8,65.0,1003.0,2.0,6.0
16/01/2000,26.2,86.0,1003.5,0.0,8.0
16/01/2000,23.6,98.0,1006.8,0.0,10.0
16/01/2000,29.0,74.0,1003.7,0.0,9.0
17/01/2000,26.6,84.0,1004.2,0.0,0.0
17/01/2000,25.0,91.0,1007.4,0.0,10.0
17/01/2000,28.8,71.0,1004.9,3.0,8.0
18/01/2000,23.8,92.0,1006.2,1.0,10.0
18/01/2000,23.2,92.0,1009.3,2.0,10.0
18/01/2000,29.4,73.0,1007.2,1.0,6.0
19/01/2000,25.6,83.0,1006.5,0.0,6.0
19/01/2000,25.0,91.0,1009.1,0.0,6.0
19/01/2000,30.8,67.0,1006.0,0.0,10.0
20/01/2000,25.2,88.0,1005.9,0.0,0.0
20/01/2000,24.0,95.0,1009.1,1.0,10.0
20/01/2000,27.4,81.0,1006.6,1.0,8.0
21/01/2000,25.0,91.0,1006.1,0.0,4.0
21/01/2000,25.4,88.0,1008.6,1.0,6.0
21/01/2000,32.2,65.0,1004.9,1.0,6.0
22/01/2000,26.8,82.0,1004.8,0.0,6.0
22/01/2000,24.2,87.0,1008.1,0.0,10.0
22/01/2000,27.8,80.0,1005.2,0.0,9.0
23/01/2000,26.2,91.0,1005.0,0.0,6.0
23/01/2000,24.8,95.0,1007.6,2.0,10.0
23/01/2000,30.0,69.0,1004.4,3.0,6.0
24/01/2000,25.2,91.0,1005.0,0.0,0.0
24/01/2000,26.0,91.0,1006.9,1.0,8.0
24/01/2000,29.4,69.0,1004.4,3.0,10.0
25/01/2000,24.0,93.0,1005.7,0.0,10.0
25/01/2000,24.2,94.0,1008.7,0.0,9.0
25/01/2000,29.0,75.0,1004.8,0.0,8.0
26/01/2000,27.2,85.0,1005.6,0.0,6.0
26/01/2000,27.0,88.0,1007.5,1.0,4.0
26/01/2000,30.2,73.0,1005.1,2.0,5.0
27/01/2000,28.0,78.0,1004.9,0.0,2.0
27/01/2000,26.4,79.0,1007.6,0.0,9.0
27/01/2000,31.6,62.0,1006.5,2.0,6.0
28/01/2000,25.6,91.0,1005.0,0.0,4.0
28/01/2000,27.0,85.0,1006.8,0.0,4.0
28/01/2000,33.0,59.0,1003.0,2.0,5.0
29/01/2000,29.2,84.0,1003.4,0.0,4.0
29/01/2000,24.4,92.0,1007.4,0.0,10.0
29/01/2000,25.2,85.0,1005.3,1.0,10.0
30/01/2000,25.0,89.0,1005.1,0.0,0.0
30/01/2000,25.0,94.0,1007.8,0.0,8.0
30/01/2000,23.4,93.0,1008.2,1.0,10.0
31/01/2000,24.4,92.0,1006.8,0.0,8.0
31/01/2000,23.8,98.0,1009.6,0.0,10.0
31/01/2000,31.4,66.0,1007.3,2.0,8.0
01/02/2000,26.0,86.0,1008.4,0.0,6.0
01/02/2000,26.2,94.0,1010.3,0.0,4.0
01/02/2000,24.8,92.0,1008.3,1.0,10.0
02/02/2000,25.2,95.0,1007.0,0.0,6.0
02/02/2000,25.6,95.0,1008.1,0.0,6.0
02/02/2000,29.4,78.0,1006.5,1.0,6.0
03/02/2000,26.4,91.0,1006.0,0.0,4.0
03/02/2000,25.0,98.0,1007.5,0.0,10.0
03/02/2000,31.2,67.0,1004.2,2.0,10.0
04/02/2000,24.8,94.0,1006.8,0.0,6.0
04/02/2000,24.6,94.0,1008.0,0.0,10.0
04/02/2000,24.6,92.0,1007.3,1.0,10.0
05/02/2000,24.6,94.0,1007.6,0.0,10.0
05/02/2000,22.4,95.0,1010.0,0.0,10.0
05/02/2000,26.0,91.0,1011.0,0.0,10.0
06/02/2000,25.6,85.0,1007.8,0.0,10.0
06/02/2000,25.0,97.0,1004.2,0.0,10.0
06/02/2000,29.2,79.0,1008.6,0.0,10.0
07/02/2000,26.4,88.0,1008.1,0.0,8.0
07/02/2000,26.0,91.0,1009.3,1.0,10.0
07/02/2000,31.6,59.0,1007.3,2.0,5.0
08/02/2000,27.4,85.0,1007.4,0.0,8.0
08/02/2000,26.6,89.0,1009.2,0.0,8.0
08/02/2000,30.6,67.0,1006.4,0.0,8.0
09/02/2000,27.4,81.0,1006.4,0.0,8.0
09/02/2000,25.2,88.0,1008.3,0.0,10.0
09/02/2000,31.0,69.0,1005.8,2.0,9.0
10/02/2000,28.2,77.0,1006.7,0.0,6.0
10/02/2000,25.4,86.0,1007.7,0.0,8.0
10/02/2000,32.0,60.0,1004.7,2.0,6.0
11/02/2000,26.8,79.0,1004.9,0.0,4.0
11/02/2000,26.2,85.0,1007.6,0.0,10.0
11/02/2000,32.0,60.0,1006.5,2.0,6.0
12/02/2000,25.8,85.0,1006.1,0.0,6.0
12/02/2000,25.2,86.0,1007.0,2.0,8.0
12/02/2000,24.2,94.0,1006.8,0.0,10.0
13/02/2000,24.6,89.0,1006.2,0.0,10.0
13/02/2000,24.2,87.0,1008.1,2.0,10.0
13/02/2000,27.4,69.0,1007.3,3.0,8.0
14/02/2000,25.0,84.0,1007.4,2.0,5.0
14/02/2000,24.6,87.0,1009.2,1.0,10.0
14/02/2000,29.6,68.0,1007.6,2.0,6.0
15/02/2000,26.6,78.0,1008.2,0.0,8.0
15/02/2000,24.2,94.0,1009.1,0.0,10.0
15/02/2000,31.6,55.0,1005.6,2.0,6.0
16/02/2000,27.8,77.0,1006.0,0.0,4.0
16/02/2000,24.8,87.0,1008.8,0.0,10.0
16/02/2000,24.0,93.0,1007.2,1.0,10.0
17/02/2000,23.0,93.0,1007.6,0.0,6.0
17/02/2000,23.6,90.0,1009.0,0.0,10.0
17/02/2000,30.2,62.0,1007.1,0.0,6.0
18/02/2000,24.8,86.0,1006.3,0.0,5.0
18/02/2000,24.4,87.0,1009.0,0.0,10.0
18/02/2000,30.2,62.0,1006.7,2.0,8.0
19/02/2000,24.6,94.0,1006.2,0.0,6.0
19/02/2000,24.0,92.0,1008.3,1.0,10.0
19/02/2000,27.2,78.0,1006.5,2.0,6.0
20/02/2000,26.2,83.0,1006.1,2.0,6.0
20/02/2000,25.8,85.0,1009.4,0.0,6.0
20/02/2000,31.4,61.0,1006.3,1.0,6.0
21/02/2000,26.4,82.0,1006.4,0.0,6.0
21/02/2000,22.6,95.0,1009.3,0.0,10.0
21/02/2000,26.4,89.0,1007.0,0.0,10.0
22/02/2000,22.4,98.0,1006.7,0.0,8.0
22/02/2000,23.6,93.0,1009.1,0.0,10.0
22/02/2000,29.8,70.0,1006.5,2.0,8.0
23/02/2000,26.2,86.0,1006.3,0.0,5.0
23/02/2000,26.4,85.0,1007.8,0.0,6.0
23/02/2000,25.2,88.0,1006.1,1.0,8.0
24/02/2000,24.6,90.0,1006.0,2.0,4.0
24/02/2000,23.4,97.0,1006.5,0.0,8.0
24/02/2000,30.6,67.0,1003.9,0.0,8.0
25/02/2000,25.8,91.0,1004.7,0.0,8.0
25/02/2000,24.8,90.0,1006.7,0.0,8.0
25/02/2000,30.0,68.0,1004.3,1.0,6.0
26/02/2000,27.0,87.0,1004.3,0.0,0.0
26/02/2000,24.6,89.0,1008.3,0.0,10.0
26/02/2000,25.0,87.0,1006.8,2.0,10.0
27/02/2000,23.4,93.0,1005.0,0.0,4.0
27/02/2000,24.2,98.0,1008.1,0.0,10.0
27/02/2000,31.6,62.0,1004.8,0.0,8.0
28/02/2000,28.2,84.0,1005.1,0.0,0.0
28/02/2000,25.8,88.0,1007.4,1.0,6.0
28/02/2000,31.2,62.0,1004.4,1.0,6.0
29/02/2000,24.4,95.0,1005.6,0.0,10.0
29/02/2000,24.4,94.0,1009.0,0.0,10.0
29/02/2000,29.4,74.0,1006.2,1.0,8.0
01/03/2000,27.2,82.0,1005.2,0.0,6.0
01/03/2000,25.0,98.0,1009.8,0.0,10.0
01/03/2000,32.2,62.0,1006.5,2.0,9.0
02/03/2000,26.2,83.0,1006.4,0.0,6.0
02/03/2000,24.8,89.0,1008.7,0.0,10.0
02/03/2000,31.2,66.0,1004.6,2.0,8.0
03/03/2000,26.4,83.0,1005.0,0.0,6.0
03/03/2000,23.6,98.0,1008.1,0.0,10.0
03/03/2000,25.2,94.0,1007.1,1.0,10.0
04/03/2000,25.0,87.0,1005.4,0.0,6.0
04/03/2000,23.4,97.0,1008.5,0.0,10.0
04/03/2000,23.8,93.0,1007.8,0.0,10.0
05/03/2000,24.2,95.0,1007.3,0.0,8.0
05/03/2000,25.2,92.0,1008.0,0.0,10.0
05/03/2000,29.6,71.0,1005.7,0.0,10.0
06/03/2000,27.6,82.0,1005.5,0.0,4.0
06/03/2000,25.6,86.0,1008.1,0.0,8.0
06/03/2000,31.4,64.0,1004.8,2.0,6.0
07/03/2000,26.4,89.0,1006.0,0.0,8.0
07/03/2000,24.2,98.0,1009.9,0.0,10.0
07/03/2000,26.6,86.0,1007.0,2.0,9.0
08/03/2000,26.2,85.0,1005.1,0.0,8.0
08/03/2000,24.6,97.0,1007.8,0.0,10.0
08/03/2000,24.2,95.0,1006.3,2.0,10.0
09/03/2000,24.4,94.0,1006.3,0.0,10.0
09/03/2000,25.2,92.0,1008.7,0.0,6.0
09/03/2000,30.6,66.0,1005.0,2.0,4.0
10/03/2000,26.0,83.0,1005.1,0.0,6.0
10/03/2000,25.4,89.0,1008.6,2.0,8.0
10/03/2000,32.2,60.0,1004.6,2.0,6.0
11/03/2000,28.8,77.0,1004.9,0.0,5.0
11/03/2000,24.2,97.0,1007.9,2.0,10.0
11/03/2000,24.0,97.0,1007.2,1.0,10.0
12/03/2000,23.8,95.0,1006.0,0.0,8.0
12/03/2000,23.4,95.0,1010.1,0.0,10.0
12/03/2000,27.4,76.0,1006.1,0.0,8.0
13/03/2000,25.2,92.0,1005.4,0.0,6.0
13/03/2000,24.2,90.0,1006.8,0.0,10.0
13/03/2000,29.8,67.0,1004.4,2.0,8.0
14/03/2000,27.4,77.0,1004.0,0.0,0.0
14/03/2000,26.8,79.0,1006.0,1.0,8.0
14/03/2000,26.4,83.0,1004.6,0.0,10.0
15/03/2000,25.8,91.0,1004.1,0.0,10.0
15/03/2000,25.6,92.0,1007.0,0.0,10.0
15/03/2000,30.2,69.0,1004.8,1.0,6.0
16/03/2000,25.6,91.0,1004.7,2.0,10.0
16/03/2000,25.2,89.0,1007.5,0.0,10.0
16/03/2000,28.0,84.0,1005.5,0.0,10.0
17/03/2000,24.6,95.0,1004.9,0.0,8.0
17/03/2000,24.4,95.0,1007.5,1.0,10.0
17/03/2000,25.0,94.0,1005.6,0.0,10.0
18/03/2000,24.4,94.0,1005.4,0.0,10.0
18/03/2000,25.0,94.0,1006.5,0.0,6.0
18/03/2000,30.4,69.0,1004.3,2.0,8.0
19/03/2000,24.6,95.0,1004.9,0.0,10.0
19/03/2000,24.2,98.0,1008.3,0.0,9.0
19/03/2000,26.0,83.0,1004.2,2.0,10.0
20/03/2000,25.6,89.0,1003.8,0.0,8.0
20/03/2000,26.6,84.0,1005.6,2.0,4.0
20/03/2000,30.8,65.0,1003.1,2.0,5.0
21/03/2000,25.6,83.0,1003.3,0.0,8.0
21/03/2000,25.2,95.0,1006.1,0.0,6.0
21/03/2000,32.4,64.0,1002.7,1.0,4.0
22/03/2000,27.8,78.0,1003.0,0.0,6.0
22/03/2000,23.8,95.0,1008.3,2.0,10.0
22/03/2000,28.2,80.0,1005.6,0.0,10.0
23/03/2000,26.0,89.0,1003.7,0.0,5.0
23/03/2000,24.4,94.0,1005.6,0.0,10.0
23/03/2000,29.6,69.0,1003.3,2.0,8.0
24/03/2000,27.8,80.0,1003.6,0.0,0.0
24/03/2000,26.0,94.0,1006.0,0.0,10.0
24/03/2000,27.0,85.0,1004.5,1.0,10.0
25/03/2000,24.8,97.0,1006.1,0.0,10.0
25/03/2000,25.0,98.0,1008.1,0.0,10.0
25/03/2000,32.0,68.0,1004.5,2.0,6.0
26/03/2000,27.4,85.0,1004.4,0.0,4.0
26/03/2000,25.4,88.0,1006.8,0.0,6.0
26/03/2000,32.2,56.0,1003.1,1.0,8.0
27/03/2000,25.4,91.0,1004.8,0.0,10.0
27/03/2000,24.0,95.0,1007.0,0.0,10.0
27/03/2000,25.4,86.0,1007.2,2.0,10.0
28/03/2000,23.8,95.0,1005.5,0.0,6.0
28/03/2000,23.4,98.0,1010.1,0.0,10.0
28/03/2000,28.2,73.0,1006.0,2.0,10.0
29/03/2000,25.6,85.0,1006.1,0.0,8.0
29/03/2000,25.4,86.0,1007.1,0.0,2.0
29/03/2000,29.6,69.0,1005.1,0.0,8.0
30/03/2000,25.2,92.0,1005.3,0.0,2.0
30/03/2000,26.0,86.0,1006.5,0.0,6.0
30/03/2000,28.8,72.0,1003.8,1.0,8.0
31/03/2000,24.6,94.0,1007.3,0.0,10.0
31/03/2000,25.4,94.0,1008.1,0.0,10.0
31/03/2000,32.2,61.0,1003.7,2.0,5.0
01/04/2000,24.0,95.0,1005.3,0.0,10.0
01/04/2000,24.4,94.0,1008.2,0.0,10.0
01/04/2000,27.2,81.0,1006.1,2.0,10.0
02/04/2000,25.4,89.0,1005.7,0.0,8.0
02/04/2000,24.6,95.0,995.6,0.0,10.0
02/04/2000,24.6,94.0,1008.5,1.0,10.0
03/04/2000,23.8,92.0,1005.8,0.0,4.0
